,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
131,Best Performance by an Actress in a Motion Picture - Drama,Children of a Lesser God,1987,Marlee Matlin,Winner,Actress -- Leading Role,Children of a Lesser God {'Sarah'},Actress -- Leading Role,YES
132,Best Performance by an Actress in a Motion Picture - Drama,Aliens,1987,Sigourney Weaver,Nominee,Actress -- Leading Role,Aliens {'Ripley'},Actress -- Leading Role,NO
133,Best Performance by an Actor in a Motion Picture - Drama,Mona Lisa,1987,Bob Hoskins,Winner,Actor -- Leading Role,Mona Lisa {'George'},Actor -- Leading Role,NO
134,Best Performance by an Actor in a Motion Picture - Drama,'Round Midnight,1987,Dexter Gordon,Nominee,Actor -- Leading Role,'Round Midnight {'Dale Turner'},Actor -- Leading Role,NO
135,Best Performance by an Actor in a Motion Picture - Drama,Children of a Lesser God,1987,William Hurt,Nominee,Actor -- Leading Role,Children of a Lesser God {'James'},Actor -- Leading Role,NO
136,Best Performance by an Actor in a Motion Picture - Drama,"Color of Money, The",1987,Paul Newman,Nominee,Actor -- Leading Role,The Color of Money {'Eddie Felson'},Actor -- Leading Role,YES
137,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Crimes of the Heart,1987,Sissy Spacek,Winner,Actress -- Leading Role,Crimes of the Heart {'Babe Magrath'},Actress -- Leading Role,NO
138,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Peggy Sue Got Married,1987,Kathleen Turner,Nominee,Actress -- Leading Role,Peggy Sue Got Married {'Peggy Sue'},Actress -- Leading Role,NO
139,Best Director - Motion Picture,Platoon,1987,Oliver Stone,Winner,Directing,Oliver Stone,Directing,YES
140,Best Director - Motion Picture,Hannah and Her Sisters,1987,Woody Allen,Nominee,Directing,Woody Allen,Directing,NO
141,Best Director - Motion Picture,"Room with a View, A",1987,James Ivory,Nominee,Directing,James Ivory,Directing,NO
142,Best Motion Picture - Drama,,1988,The Last Emperor,Winner,Best Picture,"Jeremy Thomas, Producer",Best Picture,YES
143,Best Motion Picture - Drama,,1988,Fatal Attraction,Nominee,Best Picture,"Stanley R. Jaffe and Sherry Lansing, Producers",Best Picture,NO
144,Best Motion Picture - Musical or Comedy,,1988,Hope and Glory,Winner,Best Picture,"John Boorman, Producer",Best Picture,NO
145,Best Motion Picture - Musical or Comedy,,1988,Broadcast News,Nominee,Best Picture,"James L. Brooks, Producer",Best Picture,NO
146,Best Motion Picture - Musical or Comedy,,1988,Moonstruck,Nominee,Best Picture,"Patrick Palmer and Norman Jewison, Producers",Best Picture,NO
147,Best Performance by an Actress in a Motion Picture - Drama,Anna,1988,Sally Kirkland,Winner,Actress -- Leading Role,Anna {'Anna'},Actress -- Leading Role,NO
148,Best Performance by an Actress in a Motion Picture - Drama,Fatal Attraction,1988,Glenn Close,Nominee,Actress -- Leading Role,Fatal Attraction {'Alex Forrest'},Actress -- Leading Role,NO
149,Best Performance by an Actor in a Motion Picture - Drama,Wall Street,1988,Michael Douglas,Winner,Actor -- Leading Role,Wall Street {'Gordon Gekko'},Actor -- Leading Role,YES
150,Best Performance by an Actor in a Motion Picture - Drama,Ironweed,1988,Jack Nicholson,Nominee,Actor -- Leading Role,Ironweed {'Francis Phelan'},Actor -- Leading Role,NO
151,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Moonstruck,1988,Cher,Winner,Actress -- Leading Role,Moonstruck {'Loretta Castorini'},Actress -- Leading Role,YES
152,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Broadcast News,1988,Holly Hunter,Nominee,Actress -- Leading Role,Broadcast News {'Jane Craig'},Actress -- Leading Role,NO
153,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Good Morning, Vietnam",1988,Robin Williams,Winner,Actor -- Leading Role,"Good Morning, Vietnam {'Adrian Cronauer'}",Actor -- Leading Role,NO
154,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Broadcast News,1988,William Hurt,Nominee,Actor -- Leading Role,Broadcast News {'Tom Grunick'},Actor -- Leading Role,NO
155,Best Director - Motion Picture,"Last Emperor, The",1988,Bernardo Bertolucci,Winner,Directing,Bernardo Bertolucci,Directing,YES
156,Best Director - Motion Picture,Hope and Glory,1988,John Boorman,Nominee,Directing,John Boorman,Directing,NO
157,Best Director - Motion Picture,Fatal Attraction,1988,Adrian Lyne,Nominee,Directing,Adrian Lyne,Directing,NO
158,Best Motion Picture - Drama,,1989,Rain Man,Winner,Best Picture,"Mark Johnson, Producer",Best Picture,YES
159,Best Motion Picture - Drama,,1989,Mississippi Burning,Nominee,Best Picture,"Frederick Zollo and Robert F. Colesberry, Producers",Best Picture,NO
160,Best Motion Picture - Drama,,1989,The Accidental Tourist,Nominee,Best Picture,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",Best Picture,NO
161,Best Motion Picture - Musical or Comedy,,1989,Working Girl,Winner,Best Picture,"Douglas Wick, Producer",Best Picture,NO
162,Best Performance by an Actress in a Motion Picture - Drama,"Accused, The",1989,Jodie Foster,Winner,Actress -- Leading Role,The Accused {'Sarah Tobias'},Actress -- Leading Role,YES
163,Best Performance by an Actress in a Motion Picture - Drama,Gorillas in the Mist: The Adventure of Dian Fossey,1989,Sigourney Weaver,Winner,Actress -- Leading Role,Gorillas in the Mist {'Dian Fossey'},Actress -- Leading Role,NO
164,Best Performance by an Actress in a Motion Picture - Drama,"Cry in the Dark, A",1989,Meryl Streep,Nominee,Actress -- Leading Role,A Cry in the Dark {'Lindy'},Actress -- Leading Role,NO
165,Best Performance by an Actor in a Motion Picture - Drama,Rain Man,1989,Dustin Hoffman,Winner,Actor -- Leading Role,Rain Man {'Raymond Babbitt'},Actor -- Leading Role,YES
166,Best Performance by an Actor in a Motion Picture - Drama,Mississippi Burning,1989,Gene Hackman,Nominee,Actor -- Leading Role,Mississippi Burning {'Anderson'},Actor -- Leading Role,NO
167,Best Performance by an Actor in a Motion Picture - Drama,Stand and Deliver,1989,Edward James Olmos,Nominee,Actor -- Leading Role,Stand and Deliver {'Jaime Escalante'},Actor -- Leading Role,NO
168,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Working Girl,1989,Melanie Griffith,Winner,Actress -- Leading Role,Working Girl {'Tess McGill'},Actress -- Leading Role,NO
169,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Big,1989,Tom Hanks,Winner,Actor -- Leading Role,Big {'Josh'},Actor -- Leading Role,NO
170,Best Director - Motion Picture,Rain Man,1989,Barry Levinson,Nominee,Directing,Barry Levinson,Directing,YES
171,Best Director - Motion Picture,Working Girl,1989,Mike Nichols,Nominee,Directing,Mike Nichols,Directing,NO
172,Best Director - Motion Picture,Mississippi Burning,1989,Alan Parker,Nominee,Directing,Alan Parker,Directing,NO
173,Best Motion Picture - Drama,,1990,Born on the Fourth of July,Winner,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Best Picture,NO
174,Best Motion Picture - Drama,,1990,Dead Poets Society,Nominee,Best Picture,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Best Picture,NO
175,Best Motion Picture - Musical or Comedy,,1990,Driving Miss Daisy,Winner,Best Picture,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Best Picture,YES
176,Best Performance by an Actress in a Motion Picture - Drama,"Fabulous Baker Boys, The",1990,Michelle Pfeiffer,Winner,Actress -- Leading Role,The Fabulous Baker Boys {'Susie Diamond'},Actress -- Leading Role,NO
177,Best Performance by an Actress in a Motion Picture - Drama,Music Box,1990,Jessica Lange,Nominee,Actress -- Leading Role,Music Box {'Ann Talbot'},Actress -- Leading Role,NO
178,Best Performance by an Actor in a Motion Picture - Drama,Born on the Fourth of July,1990,Tom Cruise,Winner,Actor -- Leading Role,Born on the Fourth of July {'Ron Kovic'},Actor -- Leading Role,NO
